Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,AWARD_TYPE,SEASON,DWS,DBPM,DRtg,VOTE_POINTS
10T,Sam Cassell,34,MIN,0,4,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,MVP,2003-04,,,,4
13,Andrei Kirilenko,22,UTA,0,2,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,MVP,2003-04,,,,2
14T,Carmelo Anthony,19,DEN,0,1,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,MVP,2003-04,,,,1
14T,Michael Redd,24,MIL,0,1,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,MVP,2003-04,,,,1
14T,Yao Ming,23,HOU,0,1,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.202,MVP,2003-04,,,,1
2,Tim Duncan,27,SAS,0,716,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,MVP,2003-04,,,,716
3,Jermaine O'Neal,25,IND,2,523,1230,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155,MVP,2003-04,,,,523
4,Peja Stojaković,26,SAC,1,281,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,MVP,2003-04,,,,281
5,Kobe Bryant,25,LAL,0,212,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,MVP,2003-04,,,,212
6,Shaquille O'Neal,31,LAL,0,178,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,,0.49,9.9,0.192,MVP,2003-04,,,,178
7,Ben Wallace,29,DET,0,24,1230,0.02,81,37.7,9.5,12.4,1.7,1.8,3.0,0.421,0.125,0.49,10.2,0.16,MVP,2003-04,,,,24
8,Jason Kidd,30,NJN,0,17,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,MVP,2003-04,,,,17
9,LeBron James,19,CLE,0,11,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,MVP,2003-04,,,,11
1,LeBron James,19,CLE,78,508,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,ROTY,2003-04,,,,508
2,Carmelo Anthony,19,DEN,40,430,590,0.729,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,ROTY,2003-04,,,,430
3,Dwyane Wade,22,MIA,0,117,590,0.198,61,34.9,16.2,4.0,4.5,1.4,0.6,0.465,0.302,0.747,4.6,0.103,ROTY,2003-04,,,,117
4,Kirk Hinrich,23,CHI,0,4,590,0.007,76,35.6,12.0,3.4,6.8,1.3,0.3,0.386,0.39,0.804,4.1,0.072,ROTY,2003-04,,,,4
5,Chris Bosh,19,TOR,0,2,590,0.003,75,33.5,11.5,7.4,1.0,0.8,1.4,0.459,0.357,0.701,6.2,0.119,ROTY,2003-04,,,,2
6,Marquis Daniels,23,DAL,0,1,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,0.494,0.306,0.769,3.2,0.146,ROTY,2003-04,,,,1
1,Ben Gordon,21,CHI,88,513,625,0.821,82,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,6MOY,2004-05,,,,513
10,Jim Jackson,34,TOT,0,4,625,0.006,64,31.0,10.5,4.2,2.9,0.5,0.1,0.426,0.414,0.931,3.2,0.077,6MOY,2004-05,,,,4
11T,Kyle Korver,23,PHI,0,3,625,0.005,82,32.5,11.5,4.6,2.2,1.3,0.4,0.418,0.405,0.854,6.6,0.119,6MOY,2004-05,,,,3
11T,Mehmet Okur,25,UTA,0,3,625,0.005,82,28.1,12.9,7.5,2.0,0.4,0.8,0.468,0.27,0.85,7.0,0.147,6MOY,2004-05,,,,3
11T,Tyson Chandler,22,CHI,0,3,625,0.005,80,27.4,8.0,9.7,0.8,0.9,1.8,0.494,0.0,0.673,8.3,0.183,6MOY,2004-05,,,,3
14,Hedo Türkoğlu,25,ORL,0,1,625,0.002,67,26.2,14.0,3.5,2.3,0.6,0.3,0.419,0.38,0.836,3.4,0.092,6MOY,2004-05,,,,1
2,Ricky Davis,25,BOS,17,257,625,0.411,82,32.9,16.0,3.0,3.0,1.1,0.3,0.462,0.339,0.815,4.2,0.074,6MOY,2004-05,,,,257
3,Earl Boykins,28,DEN,11,155,625,0.248,82,26.4,12.4,1.7,4.5,1.0,0.1,0.413,0.337,0.921,6.0,0.133,6MOY,2004-05,,,,155
4,Jerry Stackhouse,30,DAL,6,95,625,0.152,56,28.9,14.9,3.3,2.3,0.9,0.2,0.414,0.267,0.849,3.5,0.103,6MOY,2004-05,,,,95
5,Vladimir Radmanović,24,SEA,2,41,625,0.066,63,29.5,11.8,4.6,1.4,0.9,0.5,0.409,0.389,0.786,3.7,0.096,6MOY,2004-05,,,,41
6,Wally Szczerbiak,27,MIN,1,22,625,0.035,81,31.6,15.5,3.7,2.4,0.5,0.2,0.506,0.373,0.855,7.3,0.136,6MOY,2004-05,,,,22
7,Antonio McDyess,30,DET,0,11,625,0.018,77,23.3,9.6,6.3,0.9,0.6,0.7,0.513,0.0,0.656,5.7,0.154,6MOY,2004-05,,,,11
8,Antonio Daniels,29,SEA,0,10,625,0.016,75,27.0,11.2,2.3,4.1,0.7,0.0,0.438,0.297,0.816,6.8,0.16,6MOY,2004-05,,,,10
9,Donyell Marshall,31,TOR,0,7,625,0.011,65,25.3,11.5,6.6,1.2,0.9,0.7,0.443,0.416,0.791,6.0,0.176,6MOY,2004-05,,,,7
1,Ben Wallace,30,DET,45,339,625,0.542,74,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153,DPOY,2004-05,6.7,2.6,94.0,339
10,Andrei Kirilenko,23,UTA,1,25,625,0.04,41,32.9,15.6,6.2,3.2,1.6,3.3,0.493,0.299,0.784,5.5,0.197,DPOY,2004-05,2.0,3.7,102.0,25
11,Allen Iverson,29,PHI,0,10,625,0.016,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,DPOY,2004-05,3.7,0.0,105.0,10
12T,Joel Przybilla,25,POR,0,6,625,0.01,76,24.4,6.4,7.7,1.0,0.3,2.1,0.598,,0.517,4.7,0.121,DPOY,2004-05,2.7,1.4,103.0,6
12T,Kirk Hinrich,24,CHI,0,6,625,0.01,77,36.4,15.7,3.9,6.4,1.6,0.3,0.397,0.355,0.792,7.2,0.124,DPOY,2004-05,4.7,1.6,101.0,6
14T,Andre Iguodala,21,PHI,0,4,625,0.006,82,32.8,9.0,5.7,3.0,1.7,0.6,0.493,0.331,0.743,6.6,0.118,DPOY,2004-05,4.0,2.1,102.0,4
14T,Trenton Hassell,25,MIN,0,4,625,0.006,82,25.2,6.6,2.7,1.6,0.4,0.4,0.474,0.091,0.789,2.7,0.063,DPOY,2004-05,1.0,-0.4,111.0,4
16T,David Wesley,34,TOT,0,3,625,0.005,80,34.7,11.9,2.9,3.3,1.2,0.1,0.398,0.375,0.857,5.2,0.089,DPOY,2004-05,2.8,0.6,106.0,3
16T,Rasheed Wallace,30,DET,0,3,625,0.005,79,34.0,14.5,8.2,1.8,0.8,1.5,0.44,0.318,0.697,7.1,0.127,DPOY,2004-05,5.1,1.2,99.0,3
18T,Josh Howard,24,DAL,0,2,625,0.003,76,32.2,12.6,6.4,1.4,1.5,0.6,0.475,0.296,0.733,6.4,0.126,DPOY,2004-05,3.4,0.8,103.0,2
18T,Manu Ginóbili,27,SAS,0,2,625,0.003,74,29.6,16.0,4.4,3.9,1.6,0.4,0.471,0.376,0.803,11.0,0.24,DPOY,2004-05,4.6,2.8,98.0,2
18T,Tyson Chandler,22,CHI,0,2,625,0.003,80,27.4,8.0,9.7,0.8,0.9,1.8,0.494,0.0,0.673,8.3,0.183,DPOY,2004-05,5.5,2.7,94.0,2
2,Bruce Bowen,33,SAS,33,247,625,0.395,82,32.0,8.2,3.5,1.5,0.7,0.5,0.42,0.403,0.634,6.1,0.111,DPOY,2004-05,4.0,1.2,102.0,247
21T,Andrés Nocioni,25,CHI,0,1,625,0.002,81,23.4,8.4,4.8,1.5,0.5,0.4,0.401,0.258,0.766,2.5,0.062,DPOY,2004-05,3.3,1.1,100.0,1
21T,Dwight Howard,19,ORL,0,1,625,0.002,82,32.6,12.0,10.0,0.9,0.9,1.7,0.52,0.0,0.671,7.3,0.131,DPOY,2004-05,3.5,-0.1,104.0,1
21T,Dwyane Wade,23,MIA,0,1,625,0.002,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,DPOY,2004-05,4.3,0.7,103.0,1
21T,Emeka Okafor,22,CHA,0,1,625,0.002,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0.0,0.609,4.0,0.074,DPOY,2004-05,3.1,-1.3,105.0,1
21T,Shane Battier,26,MEM,0,1,625,0.002,80,31.5,9.9,5.2,1.6,1.1,1.0,0.442,0.395,0.789,7.8,0.149,DPOY,2004-05,3.4,1.3,103.0,1
3,Marcus Camby,30,DEN,19,168,625,0.269,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,DPOY,2004-05,4.5,3.3,96.0,168
4,Tim Duncan,28,SAS,6,81,625,0.13,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,DPOY,2004-05,5.7,2.8,93.0,81
5,Shawn Marion,26,PHO,5,57,625,0.091,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,DPOY,2004-05,5.2,1.3,101.0,57
6,Larry Hughes,26,WAS,3,53,625,0.085,61,38.7,22.0,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157,DPOY,2004-05,3.1,1.9,104.0,53
7,Tayshaun Prince,24,DET,6,46,625,0.074,82,37.1,14.7,5.3,3.0,0.7,0.9,0.487,0.341,0.807,9.4,0.149,DPOY,2004-05,4.0,0.7,104.0,46
8,Shaquille O'Neal,32,MIA,3,32,625,0.051,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,DPOY,2004-05,4.6,1.2,100.0,32
9,Kevin Garnett,28,MIN,4,30,625,0.048,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,DPOY,2004-05,6.0,3.0,99.0,30
1,Bobby Simmons,24,LAC,59,384,615,0.624,75,37.3,16.4,5.9,2.7,1.4,0.2,0.466,0.435,0.846,6.8,0.117,MIP,2004-05,,,,384
10,Chris Bosh,20,TOR,1,21,615,0.034,81,37.2,16.8,8.9,1.9,0.9,1.4,0.471,0.3,0.76,6.8,0.108,MIP,2004-05,,,,21
11,Grant Hill,32,ORL,2,17,615,0.028,67,34.9,19.7,4.7,3.3,1.4,0.4,0.509,0.231,0.821,6.6,0.136,MIP,2004-05,,,,17
12,Udonis Haslem,24,MIA,1,16,615,0.026,80,33.4,10.9,9.1,1.4,0.8,0.5,0.54,0.0,0.791,9.2,0.165,MIP,2004-05,,,,16
13T,Damon Jones,28,MIA,2,14,615,0.023,82,31.4,11.6,2.8,4.3,0.5,0.1,0.456,0.432,0.791,8.7,0.162,MIP,2004-05,,,,14
13T,Luke Ridnour,23,SEA,1,14,615,0.023,82,31.4,10.0,2.5,5.9,1.1,0.3,0.405,0.376,0.883,5.4,0.1,MIP,2004-05,,,,14
15,Gilbert Arenas,23,WAS,1,13,615,0.021,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,MIP,2004-05,,,,13
16,Kirk Hinrich,24,CHI,1,12,615,0.02,77,36.4,15.7,3.9,6.4,1.6,0.3,0.397,0.355,0.792,7.2,0.124,MIP,2004-05,,,,12
17,Kyle Korver,23,PHI,0,9,615,0.015,82,32.5,11.5,4.6,2.2,1.3,0.4,0.418,0.405,0.854,6.6,0.119,MIP,2004-05,,,,9
18,Tyson Chandler,22,CHI,0,8,615,0.013,80,27.4,8.0,9.7,0.8,0.9,1.8,0.494,0.0,0.673,8.3,0.183,MIP,2004-05,,,,8
19,Josh Howard,24,DAL,1,7,615,0.011,76,32.2,12.6,6.4,1.4,1.5,0.6,0.475,0.296,0.733,6.4,0.126,MIP,2004-05,,,,7
2,Dwyane Wade,23,MIA,15,129,615,0.21,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,MIP,2004-05,,,,129
20T,Joe Johnson,23,PHO,0,6,615,0.01,82,39.5,17.1,5.1,3.5,1.0,0.3,0.461,0.478,0.75,7.6,0.112,MIP,2004-05,,,,6
20T,Vince Carter,28,TOT,1,6,615,0.01,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,MIP,2004-05,,,,6
22T,Dirk Nowitzki,26,DAL,1,5,615,0.008,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,MIP,2004-05,,,,5
22T,Eddy Curry,22,CHI,0,5,615,0.008,63,28.7,16.1,5.4,0.6,0.3,0.9,0.538,,0.72,4.3,0.115,MIP,2004-05,,,,5
22T,Shaquille O'Neal,32,MIA,1,5,615,0.008,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,MIP,2004-05,,,,5
22T,Shawn Marion,26,PHO,1,5,615,0.008,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,MIP,2004-05,,,,5
26T,Brevin Knight,29,CHA,0,3,615,0.005,66,29.5,10.1,2.6,9.0,2.0,0.1,0.422,0.15,0.852,4.5,0.11,MIP,2004-05,,,,3
26T,Fred Jones,25,IND,0,3,615,0.005,77,29.5,10.6,3.1,2.5,0.8,0.4,0.425,0.38,0.85,4.8,0.102,MIP,2004-05,,,,3
26T,Gerald Wallace,22,CHA,0,3,615,0.005,70,30.7,11.1,5.5,2.0,1.7,1.3,0.449,0.274,0.661,2.4,0.055,MIP,2004-05,,,,3
26T,Jason Richardson,24,GSW,0,3,615,0.005,72,37.8,21.7,5.9,3.9,1.5,0.4,0.446,0.338,0.693,5.7,0.1,MIP,2004-05,,,,3
26T,Reggie Evans,24,SEA,0,3,615,0.005,79,23.8,4.9,9.3,0.7,0.7,0.2,0.476,0.0,0.534,3.8,0.096,MIP,2004-05,,,,3
3,Tayshaun Prince,24,DET,14,107,615,0.174,82,37.1,14.7,5.3,3.0,0.7,0.9,0.487,0.341,0.807,9.4,0.149,MIP,2004-05,,,,107
31,Drew Gooden,23,CLE,0,2,615,0.003,82,30.8,14.4,9.2,1.6,0.9,0.9,0.492,0.179,0.81,8.5,0.163,MIP,2004-05,,,,2
32T,Anthony Johnson,30,IND,0,1,615,0.002,63,27.7,8.4,2.8,4.8,0.9,0.2,0.445,0.38,0.752,4.0,0.11,MIP,2004-05,,,,1
32T,Mickaël Piétrus,22,GSW,0,1,615,0.002,67,20.0,9.5,2.8,1.2,0.7,0.3,0.427,0.344,0.698,2.1,0.075,MIP,2004-05,,,,1
32T,Rashard Lewis,25,SEA,0,1,615,0.002,71,38.0,20.5,5.5,1.3,1.1,0.9,0.462,0.4,0.777,8.4,0.15,MIP,2004-05,,,,1
32T,Ricky Davis,25,BOS,0,1,615,0.002,82,32.9,16.0,3.0,3.0,1.1,0.3,0.462,0.339,0.815,4.2,0.074,MIP,2004-05,,,,1
32T,Tony Parker,22,SAS,0,1,615,0.002,80,34.2,16.6,3.7,6.1,1.2,0.1,0.482,0.276,0.65,8.1,0.141,MIP,2004-05,,,,1
4,Primož Brezec,25,CHA,5,75,615,0.122,72,31.6,13.0,7.4,1.2,0.5,0.8,0.512,,0.745,4.9,0.104,MIP,2004-05,,,,75
5,Dan Dickau,26,TOT,5,68,615,0.111,71,29.4,12.5,2.5,4.9,1.1,0.1,0.405,0.347,0.833,3.5,0.079,MIP,2004-05,,,,68
6,LeBron James,20,CLE,4,57,615,0.093,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,MIP,2004-05,,,,57
7,Amar'e Stoudemire,22,PHO,5,46,615,0.075,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,MIP,2004-05,,,,46
8T,Joel Przybilla,25,POR,1,28,615,0.046,76,24.4,6.4,7.7,1.0,0.3,2.1,0.598,,0.517,4.7,0.121,MIP,2004-05,,,,28
8T,Larry Hughes,26,WAS,1,28,615,0.046,61,38.7,22.0,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157,MIP,2004-05,,,,28
1,Steve Nash,30,PHO,65,1066,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,MVP,2004-05,,,,1066
11,Kevin Garnett,28,MIN,0,15,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,MVP,2004-05,,,,15
12,Gilbert Arenas,23,WAS,0,4,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,MVP,2004-05,,,,4
13,Vince Carter,28,TOT,0,3,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,MVP,2004-05,,,,3
14T,Marcus Camby,30,DEN,0,1,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,MVP,2004-05,,,,1
14T,P.J. Brown,35,NOH,0,1,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,0.446,,0.864,6.9,0.118,MVP,2004-05,,,,1
14T,Shawn Marion,26,PHO,0,1,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,MVP,2004-05,,,,1
2,Shaquille O'Neal,32,MIA,58,1032,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,MVP,2004-05,,,,1032
3,Dirk Nowitzki,26,DAL,0,349,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,MVP,2004-05,,,,349
4,Tim Duncan,28,SAS,1,328,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,MVP,2004-05,,,,328
5,Allen Iverson,29,PHI,2,240,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,MVP,2004-05,,,,240
6,LeBron James,20,CLE,0,93,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,MVP,2004-05,,,,93
7,Tracy McGrady,25,HOU,0,44,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,MVP,2004-05,,,,44
8,Dwyane Wade,23,MIA,0,43,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,MVP,2004-05,,,,43
9T,Amar'e Stoudemire,22,PHO,1,41,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,MVP,2004-05,,,,41
9T,Ray Allen,29,SEA,0,41,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,MVP,2004-05,,,,41
1,Emeka Okafor,22,CHA,77,514,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0.0,0.609,4.0,0.074,ROTY,2004-05,,,,514
2,Ben Gordon,21,CHI,43,443,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,ROTY,2004-05,,,,443
3,Dwight Howard,19,ORL,6,161,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,0.52,0.0,0.671,7.3,0.131,ROTY,2004-05,,,,161
4,Andre Iguodala,21,PHI,0,14,630,0.022,82,32.8,9.0,5.7,3.0,1.7,0.6,0.493,0.331,0.743,6.6,0.118,ROTY,2004-05,,,,14
5T,J.R. Smith,19,NOH,0,1,630,0.002,76,24.5,10.3,2.0,1.9,0.7,0.1,0.394,0.288,0.689,0.2,0.006,ROTY,2004-05,,,,1
5T,Luol Deng,19,CHI,0,1,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,0.434,0.265,0.741,3.0,0.086,ROTY,2004-05,,,,1
1,Mike Miller,25,MEM,88,501,615,0.815,74,30.6,13.7,5.4,2.7,0.7,0.4,0.466,0.407,0.8,7.4,0.157,6MOY,2005-06,,,,501
10,Shareef Abdur-Rahim,29,SAC,1,8,615,0.013,72,27.2,12.3,5.0,2.1,0.7,0.6,0.525,0.227,0.784,6.2,0.152,6MOY,2005-06,,,,8
11T,Antoine Walker,29,MIA,0,6,615,0.01,82,26.8,12.2,5.1,2.0,0.6,0.4,0.435,0.358,0.628,3.6,0.08,6MOY,2005-06,,,,6
11T,Channing Frye,22,NYK,0,6,615,0.01,65,24.2,12.3,5.8,0.8,0.5,0.7,0.477,0.333,0.825,3.5,0.108,6MOY,2005-06,,,,6
13,Eddie House,27,PHO,0,5,615,0.008,81,17.5,9.8,1.6,1.8,0.5,0.1,0.422,0.389,0.805,1.6,0.054,6MOY,2005-06,,,,5
14T,Clifford Robinson,39,NJN,0,4,615,0.007,80,23.3,6.9,3.3,1.1,0.6,0.5,0.427,0.343,0.658,2.8,0.073,6MOY,2005-06,,,,4
14T,Jamal Crawford,25,NYK,0,4,615,0.007,79,32.3,14.3,3.1,3.8,1.1,0.2,0.416,0.345,0.826,4.5,0.084,6MOY,2005-06,,,,4
16T,Bobby Jackson,32,MEM,0,3,615,0.005,71,25.0,11.4,3.1,2.7,0.9,0.0,0.382,0.389,0.733,3.5,0.095,6MOY,2005-06,,,,3
16T,Danny Granger,22,IND,0,3,615,0.005,78,22.6,7.5,4.9,1.2,0.7,0.8,0.462,0.323,0.777,5.1,0.139,6MOY,2005-06,,,,3
16T,Derek Fisher,31,GSW,0,3,615,0.005,82,31.6,13.3,2.6,4.3,1.5,0.1,0.41,0.397,0.833,5.8,0.107,6MOY,2005-06,,,,3
16T,Matt Harpring,29,UTA,0,3,615,0.005,71,27.4,12.5,5.2,1.4,0.8,0.2,0.475,0.359,0.725,4.7,0.115,6MOY,2005-06,,,,3
2,Speedy Claxton,27,NOK,14,205,615,0.333,71,28.4,12.3,2.7,4.8,1.5,0.1,0.413,0.27,0.769,3.0,0.072,6MOY,2005-06,,,,205
20T,Charlie Villanueva,21,TOR,0,1,615,0.002,81,29.1,13.0,6.4,1.1,0.7,0.8,0.463,0.327,0.706,3.9,0.079,6MOY,2005-06,,,,1
20T,Devin Harris,22,DAL,0,1,615,0.002,56,22.8,9.9,2.2,3.2,0.9,0.3,0.469,0.238,0.716,3.7,0.139,6MOY,2005-06,,,,1
20T,Erick Dampier,30,DAL,0,1,615,0.002,82,23.6,5.7,7.8,0.6,0.3,1.3,0.493,,0.591,4.8,0.119,6MOY,2005-06,,,,1
3,Jerry Stackhouse,31,DAL,12,162,615,0.263,55,27.7,13.0,2.8,2.9,0.7,0.2,0.401,0.277,0.882,2.4,0.076,6MOY,2005-06,,,,162
4,Antonio McDyess,31,DET,5,77,615,0.125,82,21.1,7.8,5.3,1.1,0.6,0.6,0.509,0.0,0.557,4.6,0.128,6MOY,2005-06,,,,77
5,Earl Boykins,29,DEN,0,34,615,0.055,60,25.7,12.6,1.4,3.8,0.8,0.1,0.41,0.346,0.874,2.9,0.09,6MOY,2005-06,,,,34
6,Alonzo Mourning,35,MIA,1,27,615,0.044,65,20.0,7.8,5.5,0.2,0.2,2.7,0.597,0.0,0.594,4.8,0.176,6MOY,2005-06,,,,27
7,Leandro Barbosa,23,PHO,1,24,615,0.039,57,27.9,13.1,2.6,2.8,0.8,0.1,0.481,0.444,0.755,3.8,0.115,6MOY,2005-06,,,,24
8,Mo Williams,23,MIL,1,19,615,0.031,58,26.4,12.1,2.5,4.0,0.9,0.1,0.424,0.382,0.85,2.5,0.079,6MOY,2005-06,,,,19
9,Michael Finley,32,SAS,0,10,615,0.016,77,26.5,10.1,3.2,1.5,0.5,0.1,0.412,0.394,0.852,5.0,0.117,6MOY,2005-06,,,,10
1,Ben Wallace,31,DET,58,420,620,0.677,82,35.2,7.3,11.3,1.9,1.8,2.2,0.51,0.0,0.416,10.1,0.168,DPOY,2005-06,6.9,3.1,95.0,420
10T,Elton Brand,26,LAC,0,3,620,0.005,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229,DPOY,2005-06,5.5,1.6,100.0,3
10T,Shane Battier,27,MEM,0,3,620,0.005,81,35.0,10.1,5.3,1.7,1.1,1.4,0.488,0.394,0.707,9.1,0.153,DPOY,2005-06,4.5,1.8,102.0,3
12,Andre Iguodala,22,PHI,0,2,620,0.003,82,37.6,12.3,5.9,3.1,1.6,0.3,0.5,0.354,0.754,7.5,0.116,DPOY,2005-06,2.6,0.4,108.0,2
13T,Andrés Nocioni,26,CHI,0,1,620,0.002,82,27.3,13.0,6.1,1.4,0.5,0.6,0.461,0.391,0.843,6.7,0.144,DPOY,2005-06,3.4,0.9,102.0,1
13T,Eddie Jones,34,MEM,0,1,620,0.002,75,32.5,11.8,3.7,2.4,1.7,0.4,0.404,0.356,0.781,7.2,0.141,DPOY,2005-06,4.2,2.3,100.0,1
13T,James Posey,29,MIA,0,1,620,0.002,67,28.6,7.2,4.8,1.3,0.8,0.3,0.403,0.403,0.787,4.2,0.104,DPOY,2005-06,2.4,1.0,105.0,1
13T,Kevin Garnett,29,MIN,0,1,620,0.002,76,38.9,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,14.9,0.242,DPOY,2005-06,5.9,2.2,98.0,1
13T,P.J. Brown,36,NOK,0,1,620,0.002,75,31.7,9.0,7.3,1.2,0.6,0.7,0.461,,0.827,4.4,0.088,DPOY,2005-06,2.3,-0.2,107.0,1
13T,Raja Bell,29,PHO,0,1,620,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,0.457,0.442,0.788,6.8,0.11,DPOY,2005-06,2.1,0.1,109.0,1
13T,Rasheed Wallace,31,DET,0,1,620,0.002,80,34.8,15.1,6.8,2.3,1.0,1.6,0.43,0.357,0.743,8.9,0.154,DPOY,2005-06,4.9,1.9,100.0,1
13T,Tayshaun Prince,25,DET,0,1,620,0.002,82,35.3,14.1,4.2,2.3,0.8,0.5,0.455,0.35,0.765,7.0,0.115,DPOY,2005-06,3.0,-0.2,106.0,1
2,Bruce Bowen,34,SAS,38,308,620,0.497,82,33.6,7.5,3.9,1.5,1.0,0.4,0.433,0.424,0.607,6.2,0.108,DPOY,2005-06,4.5,2.0,101.0,308
3,Andrei Kirilenko,24,UTA,12,121,620,0.195,69,37.7,15.3,8.0,4.3,1.5,3.2,0.46,0.308,0.699,7.9,0.145,DPOY,2005-06,4.3,3.1,101.0,121
4,Metta World Peace,26,TOT,6,65,620,0.105,56,39.4,17.6,5.1,3.6,2.2,0.7,0.404,0.308,0.675,3.7,0.081,DPOY,2005-06,3.2,1.3,103.0,65
5,Marcus Camby,31,DEN,3,55,620,0.089,56,33.2,12.8,11.9,2.1,1.4,3.3,0.465,0.091,0.712,5.5,0.141,DPOY,2005-06,4.5,3.3,95.0,55
